cfg,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
r30 tNONE s1.0,0.03,-547.881000000002,-3.2915114999999813,12.349397590361445,215.5,250.0,0.0,85.37282891566234,4559.0
r30 tNONE s1.0,0.04,-730.5080000000028,-4.388681999999975,29.21686746987952,153.5,250.0,0.0,1037.8571903614468,4559.0
r30 tNONE s1.0,0.05,-913.1350000000034,-5.485852499999969,37.65060240963856,169.5,223.0,0.0,2990.7385933735263,4559.0
r30 tNONE s1.0,0.06,-1095.762000000004,-6.5830229999999625,39.45783132530121,145.5,204.0,0.0,4236.480278313282,4559.0
r30 tNONE s1.0,0.07,-1278.389000000005,-7.680193499999957,43.97590361445783,140.0,203.5,0.0,6195.330193373529,4559.0
r30 tNONE s1.0,0.08,-1461.0160000000055,-8.77736399999995,64.45783132530121,150.5,172.5,0.0,12119.852872289239,4559.0
r30 tNONE s1.0,0.09,-1643.6430000000062,-9.874534499999946,64.1566265060241,160.0,156.5,52.347417840375584,6137.753649397623,4559.0
r30 tNONE s1.0,0.1,-1826.2700000000068,-10.971704999999938,70.63253012048193,152.0,147.5,53.5181236673774,8371.739018072336,4559.0
r30 tNONE s1.0,0.11,-2008.8970000000077,-12.068875499999926,76.6566265060241,155.0,144.0,55.5992141453831,11919.297652409698,4559.0
r30 tNONE s1.0,0.12,-2191.524000000008,-13.166045999999925,68.82530120481928,139.0,121.5,63.67614879649891,9638.612840963879,4559.0
r30 tNONE s1.0,0.13,-2374.151000000009,-14.263216499999926,69.57831325301204,132.0,114.5,60.17316017316018,11287.141442168708,4559.0
r30 tNONE s1.0,0.14,-2556.77800000001,-15.360386999999914,70.33132530120481,127.0,107.5,56.3169164882227,12693.489343373547,4559.0
r30 tNONE s1.0,0.15,-2739.40500000001,-16.457557499999908,70.33132530120481,123.0,101.0,56.3169164882227,13862.014942771126,4559.0
r30 tNONE s1.0,0.16,-2922.032000000011,-17.5547279999999,72.13855421686746,120.0,98.5,73.90396659707724,9725.012395180756,4559.0
r30 tNONE s1.0,0.17,-3104.659000000012,-18.6518984999999,70.33132530120481,115.0,96.0,73.44753747323341,10578.217700000068,4559.0
r30 tNONE s1.0,0.18,-3287.2860000000123,-19.749068999999892,72.13855421686746,111.0,86.5,82.88100208768267,9914.520253012093,4559.0
r30 tNONE s1.0,0.19,-3469.913000000013,-20.846239499999868,72.13855421686746,104.0,80.0,83.50730688935282,10133.167022289215,4559.0
r30 tNONE s1.0,0.2,-3652.5400000000136,-21.943409999999876,79.81927710843374,95.0,69.5,85.66037735849056,10571.374783132569,4559.0
r30 tNONE s1.0,0.21,-3835.1670000000145,-23.040580499999848,79.51807228915662,88.5,65.0,85.22727272727273,11428.170056024112,4559.0
r30 tNONE s1.0,0.22,-4017.7940000000153,-24.137750999999852,78.91566265060241,79.5,60.0,84.54198473282443,12277.164621686772,4559.0
r30 tNONE s1.0,0.23,-4200.421000000016,-25.234921499999874,74.69879518072288,79.5,53.0,90.12096774193549,12339.428755421728,4559.0
r30 tNONE s1.0,0.24,-4383.048000000016,-26.33209199999985,73.79518072289156,78.0,49.0,89.38775510204081,13081.349118072327,4559.0
r30 tNONE s1.0,0.25,-4565.6750000000175,-27.42926249999983,72.7409638554217,77.0,45.0,89.02691511387164,13826.347319277145,4559.0
r30 tNONE s1.0,0.26,-4748.302000000018,-28.52643299999985,72.59036144578313,72.5,41.5,87.96680497925311,14666.222201204862,4559.0
r30 tNONE s1.0,0.27,-4930.929000000018,-29.623603499999817,71.23493975903614,68.0,40.0,93.23467230443974,14839.866054216885,4559.0
r30 tNONE s1.0,0.28,-5113.55600000002,-30.720773999999828,69.7289156626506,64.0,38.0,92.22462203023758,15294.716272289212,4559.0
r30 tNONE s1.0,0.29,-5296.18300000002,-31.817944499999808,70.18072289156626,60.5,37.0,90.77253218884121,16200.86381867477,4559.0
r30 tNONE s1.0,0.3,-5478.81000000002,-32.915114999999815,70.33132530120481,59.0,36.0,92.07708779443254,16776.33451807235,4559.0
r30 tNONE s1.0,0.31,-5661.437000000022,-34.012285499999805,68.37349397590361,55.5,34.0,98.89867841409692,11437.14366024103,4559.0
r30 tNONE s1.0,0.32,-5844.064000000022,-35.1094559999998,67.46987951807229,54.0,33.5,98.88392857142857,11704.005956626568,4559.0
r30 tNONE s1.0,0.33,-6026.691000000023,-36.20662649999983,65.36144578313254,54.0,32.5,98.61751152073732,12067.557030722963,4559.0
r30 tNONE s1.0,0.34,-6209.318000000024,-37.3037969999998,61.897590361445786,54.0,31.5,98.54014598540147,12006.2858843374,4559.0
r30 tNONE s1.0,0.35,-6391.945000000024,-38.40096749999981,60.24096385542169,52.0,31.0,98.5,12063.906265060294,4559.0
r30 tNONE s1.0,0.36,-6574.572000000025,-39.498137999999784,59.48795180722891,50.0,30.0,98.73417721518987,12064.662607228964,4559.0
r30 tNONE s1.0,0.37,-6757.199000000026,-40.59530849999978,57.98192771084337,48.0,29.0,98.7012987012987,12389.30964518075,4559.0
r30 tNONE s1.0,0.38,-6939.826000000026,-41.692478999999736,43.674698795180724,40.0,25.0,98.27586206896551,4090.276185542145,4559.0
r30 tNONE s1.0,0.39,-7122.453000000027,-42.789649499999825,42.62048192771085,38.0,24.0,97.87985865724382,3901.026968674682,4559.0
r30 tNONE s1.0,0.4,-7305.080000000027,-43.88681999999975,41.1144578313253,39.0,23.0,97.8021978021978,3945.3134457831197,4559.0
r30 tNONE s1.5,0.01,-294.81150000000105,-1.6130677499999924,0.0,,250.0,0.0,0.0,4559.0
r30 tNONE s1.5,0.02,-589.6230000000021,-3.2261354999999847,0.0,,250.0,0.0,0.0,4559.0
r30 tNONE s1.5,0.03,-884.4345000000031,-4.839203249999975,21.234939759036145,184.0,250.0,0.0,319.5893078313256,4559.0
r30 tNONE s1.5,0.04,-1179.2460000000042,-6.4522709999999694,36.89759036144578,181.0,229.0,0.0,2108.0487662650767,4559.0
r30 tNONE s1.5,0.05,-1474.0575000000051,-8.065338749999961,39.60843373493976,158.0,211.0,0.0,3710.2869186747384,4559.0
r30 tNONE s1.5,0.06,-1768.8690000000063,-9.67840649999995,54.21686746987952,152.5,178.5,0.0,8123.933763253098,4559.0
r30 tNONE s1.5,0.07,-2063.680500000007,-11.291474249999942,50.451807228915655,166.0,151.0,66.26865671641791,3109.874987951822,4559.0
r30 tNONE s1.5,0.08,-2358.4920000000084,-12.904541999999939,56.92771084337349,168.0,144.0,71.16402116402116,4898.591402409663,4559.0
r30 tNONE s1.5,0.09,-2653.303500000009,-14.517609749999927,66.56626506024097,171.0,138.0,60.40723981900452,8275.217023192825,4559.0
r30 tNONE s1.5,0.1,-2948.1150000000102,-16.130677499999923,68.82530120481928,163.0,134.0,57.76805251641138,10803.659698795253,4559.0
r30 tNONE s1.5,0.11,-3242.926500000012,-17.74374524999992,70.63253012048193,143.0,119.0,57.356076759061835,12665.353071084402,4559.0
r30 tNONE s1.5,0.12,-3537.7380000000126,-19.3568129999999,73.64457831325302,126.0,95.5,57.259713701431494,14319.086284337398,4559.0
r30 tNONE s1.5,0.13,-3832.5495000000133,-20.9698807499999,76.6566265060241,119.0,88.5,57.760314341846765,15840.60920783139,4559.0
r30 tNONE s1.5,0.14,-4127.361000000014,-22.582948499999883,73.79518072289156,119.0,86.0,62.44897959183674,15473.87025361451,4559.0
r30 tNONE s1.5,0.15,-4422.172500000016,-24.196016249999875,70.78313253012048,103.0,75.0,65.1063829787234,16499.786846385567,4559.0
r30 tNONE s1.5,0.16,-4716.984000000017,-25.809083999999878,72.89156626506023,95.5,72.0,62.8099173553719,18126.732380722882,4559.0
r30 tNONE s1.5,0.17,-5011.795500000018,-27.422151749999873,74.3975903614458,93.0,70.0,62.34817813765182,19669.268021385575,4559.0
r30 tNONE s1.5,0.18,-5306.607000000018,-29.035219499999855,75.45180722891565,78.0,56.5,46.706586826347305,20040.241098795243,4559.0
r30 tNONE s1.5,0.19,-5601.41850000002,-30.64828724999985,75.30120481927712,75.0,48.0,90.2,11434.927619879563,4559.0
r30 tNONE s1.5,0.2,-5896.2300000000205,-32.261354999999845,76.6566265060241,70.0,46.0,90.76620825147347,12512.696855421707,4559.0
r30 tNONE s1.5,0.21,-6191.041500000021,-33.87442274999985,75.90361445783132,69.0,44.0,90.47619047619048,13455.264153614491,4559.0
r30 tNONE s1.5,0.22,-6485.853000000024,-35.48749049999984,74.3975903614458,67.0,42.5,90.08097165991903,14319.056221084378,4559.0
r30 tNONE s1.5,0.23,-6780.6645000000235,-37.10055824999985,71.53614457831326,68.0,41.0,99.1578947368421,14265.298964457876,4559.0
r30 tNONE s1.5,0.24,-7075.476000000025,-38.7136259999998,70.63253012048193,66.0,38.5,98.50746268656717,15193.971173493997,4559.0
r30 tNONE s1.5,0.25,-7370.287500000027,-40.32669374999982,70.18072289156626,63.0,38.0,97.42489270386267,16010.141393072307,4559.0
r30 tNONE s1.5,0.26,-7665.0990000000265,-41.9397614999998,66.86746987951807,64.0,36.0,96.84684684684684,16691.099233132518,4559.0
r30 tNONE s1.5,0.27,-7959.910500000028,-43.55282924999977,65.8132530120482,63.0,35.0,100.0,8451.932158734955,4559.0
r30 tNONE s1.5,0.28,-8254.722000000029,-45.16589699999977,64.7590361445783,62.0,34.0,100.0,8959.007636144597,4559.0
r30 tNONE s1.5,0.29,-8549.53350000003,-46.77896474999973,63.704819277108435,56.0,31.0,100.0,9761.174743373515,4559.0
r30 tNONE s1.5,0.3,-8844.345000000032,-48.39203249999975,62.5,55.0,30.0,100.0,10386.186009036146,4559.0
r30 tNONE s1.5,0.31,-9139.156500000032,-50.005100249999714,60.24096385542169,55.5,29.0,100.0,10663.72687319278,4559.0
r30 tNONE s1.5,0.32,-9433.968000000033,-51.618167999999756,58.13253012048193,54.0,28.0,100.0,7255.555016867469,4559.0
r30 tNONE s1.5,0.33,-9728.779500000035,-53.23123574999975,52.25903614457831,46.0,27.0,100.0,6787.209516867464,4559.0
r30 tNONE s1.5,0.34,-10023.591000000037,-54.84430349999975,49.39759036144578,44.0,25.0,100.0,6550.155546987953,4559.0
r30 tNONE s1.5,0.35,-10318.402500000037,-56.45737124999969,43.373493975903614,39.5,23.0,100.0,4143.359173192751,4559.0
r30 tNONE s1.5,0.36,-10613.214000000036,-58.07043899999971,45.18072289156627,39.0,22.0,100.0,4382.050933734927,4559.0
r30 tNONE s1.5,0.37,-10908.02550000004,-59.683506749999715,41.566265060240966,40.0,20.5,100.0,3340.805292771075,4559.0
r30 tNONE s1.5,0.38,-11202.83700000004,-61.2965744999997,39.60843373493976,40.0,20.0,100.0,3366.4548409638437,4559.0
r30 tNONE s1.5,0.39,-11497.648500000041,-62.90964224999964,37.8012048192771,38.0,19.0,100.0,3505.5023367469807,4559.0
r30 tNONE s1.5,0.4,-11792.460000000041,-64.52270999999969,36.144578313253014,37.5,18.5,100.0,3638.9309999999828,4559.0
